ID,product,rate,village,date,farmer,buyerName,marketPrice,volume
1,Maize,12,Darbhagudem,2018-04-11,Christopher Garcia,COUNSEL Nursery,11.4,16730
2,Cabbagge,5,Demudu Valasa,2018-04-13,Abdul Jabbaar el-Ghazal,CHAIR Nursery,4.5,1520
3,Cabbagge,5.5,Demudu Valasa,2018-04-13,Charles Dunn,DECIDE Organic Produce,5,4000
6,Maize,11.9,Gadidaboru,2018-04-16,Gary Ingelhart,SIP Organic Produce,11,15250
7,Maize,12,Gopalapuram,2018-04-16,Roxana Ibarra,GRASP Farm,11.4,8200
8,Maize,11.9,Karagapadu,2018-04-16,Austin Moore,DAMAGE Nursery,11,14100
9,Cashewnut,146,Gangavaram,2018-04-17,Collin Swanson,SLIT Nursery,142,248
10,Cashewnut,138,Bayyanapalli,2018-04-17,Adam Zolnir-Groshong,PERMIT Farm,136,491
11,Cashewnut,137,Cheedipalem,2018-04-17,Miranda Creager,NAME Organic Produce,135,480.5
12,Cashewnut,138.5,Amudalabanda,2018-04-17,Nallely Ortiz,PERMIT Farm,136,440
13,Cashewnut,139,Doramamidi (Gangavaram),2018-04-17,Cade Rowland,APPROACH Farm,137,535
14,Cashewnut,141.25,E. Ramavaram,2018-04-17,Samraa el-Saladin,RHYME Organic Produce,139,930.5
15,Cashewnut,142.25,Lakkonda,2018-04-17,Sebastian Deltoro,EXCEED Nursery,140,466
16,Cashewnut,140,Mohanapuram,2018-04-17,Michael Bebo,SWIPE Organic Produce,138,1378
17,Cashewnut,145,Zaderu,2018-04-17,Nadheera el-Jalali,PERMIT Farm,143,936
18,Cashewnut,145,D.Bhimavaram,2018-04-17,Dewayne Georg,CHEAT Nursery,143,282.5
19,Cashewnut,145,Jiyyampalem,2018-04-17,Breya Cleere,RECOMMEND Organic Produce,143,989
20,Cashewnut,145,Surampalem,2018-04-17,Oneisys Moore,ESCAPE Farm,143,1267
21,Cashewnut,143,Barrimamidi,2018-04-17,Uwais el-Kamal,KNOT Nursery,141,233.5
22,Cashewnut,145,Doramamidi (Gangavaram),2018-04-17,Martin Jenkins,SWIPE Nursery,143,390
23,Cashewnut,145,Gondolu,2018-04-17,Sebastian Trujillo,FINALIZE Nursery,143,213.28
24,Cashewnut,145,D.Chodavaram,2018-04-17,Ruben Godinez,SIGNAL Organic Produce,143,797.34
25,Cashewnut,149,Busigudem,2018-04-17,Megan Huang,TAKE Organic Produce,147,611.5
26,Cashewnut,148,Chelakaveedhi,2018-04-17,Maimoona el-Ben,BLEED Farm,146,911
27,Cashewnut,145,Cheedipalem,2018-04-17,Andrew Maldonado,APPROACH Farm,143,854.5
28,Cashewnut,145,Goragommi,2018-04-17,James Nolke,APPROACH Farm,143,854.5
29,Cashewnut,145.25,Bodlanka,2018-04-17,Philip Cha,BUILT Organic Produce,143,2159
30,Cashewnut,142,D. Pinjarikonda,2018-04-17,Matthew Brown,CRUSH Organic Produce,140,3493
31,Cashewnut,145,Beerampalle,2018-04-17,Emily Taylor,STRUCTURE Nursery,143,1114
32,Cashewnut,145,Lakkonda,2018-04-17,Taamira el-Ghanem,GRAPPLE Farm,143,1381
33,Cashewnut,148,Pandraprolu,2018-04-17,Gabriel Ramirez,CRUSH Organic Produce,146,2046
34,Cashewnut,148,Jiyyampalem,2018-04-17,Sophia Mcknight,EXCEED Nursery,146,1191
35,Cashewnut,146,Chinnavadisikarra,2018-04-17,Korren Cotonuts,DRAIN Farm,144,2467.8
36,Cashewnut,146,Kothada,2018-04-18,Allan Lin,SWIPE Organic Produce,144,859.5
37,Cashewnut,147,Barrimamidi,2018-04-18,Youjin Stebbins,PERMIT Farm,145,1578
38,Cashewnut,150,Addateegala,2018-04-18,Anfernee Samoy,CHEAT Nursery,148,2062.98
42,Cashewnut,146,Chinamunakanagedda,2018-04-18,Nawwaara el-Rabbani,CRUSH Organic Produce,144,3317.507
43,Maize,11.8,Guddigudem,2018-04-18,Amanda Delacruz,KNIFE Nursery,11.5,18000
44,Maize,11.85,Buttayagudem,2018-04-20,David Correa,WITHSTAND Nursery,11.6,4000
45,Maize,11.9,Ganapavaram,2018-04-20,Matthew Brinkmeyer,DEBATE Nursery,11.6,11400
46,Maize,11.8,Atchiahpalem,2018-04-21,Saalim al-Karam,UNTIDY Organic Produce,11.6,12400
47,Maize,11.8,chandramma colony,2018-04-21,Dmitri Trujillo,COUNSEL Nursery,11.5,16730
51,Cashewnut,150,Bodlanka,2018-04-25,Joshua Scheidt,CRUSH Organic Produce,148,3847.2
52,Maize,11.7,Kollai gudem,2018-05-02,Zachary Hereford,JUSTIFY Nursery,11,16326
53,Maize,11.9,Gurrappa Gudem,2018-05-02,Christopher Martinez,INJECT Farm,11.6,4600
54,Maize,11.7,Hukum Peta,2018-05-02,Mubarak el-Selim,POINT Organic Produce,11.5,11640
55,Maize,11.75,Antharavedi gudem,2018-05-03,Amadeo Armendariz,JUSTIFY Nursery,11.6,6250
56,Maize,11.6,Busaraju Palli,2018-05-03,Anthony Kim,BOW Organic Produce,11.4,6030
57,Maize,11.6,Nuthiramannapalem,2018-05-03,Jacie Rick-Perry,DEBATE Nursery,11.4,21000
58,Maize,11.7,Sirivari gudem,2018-05-03,Madison Massey,BOLSTER Nursery,11.6,17000
59,Maize,11.8,Darbhagudem,2018-05-03,Tiana Johnson,BUBBLE Farm,11.6,7250
60,Maize,11.8,Barrinkalapadu,2018-05-03,Rian Wilson,COUNSEL Nursery,11.7,10250
62,Maize,11.6,Hukum Peta,2018-05-03,Adnaan el-Kanan,POINT Organic Produce,11.4,5600
63,Maize,11.6,Jagannadhapuram,2018-05-03,Shaamikh al-Nasser,POINT Organic Produce,11.4,6700
65,Maize,11.7,Guddigudem,2018-05-03,Aunjanee Howard,TERMINATE Farm,11.6,11640
66,Cabbagge,6,Demudu Valasa,2018-05-05,Charles Dunn,INTERFERE Organic Produce,5,4500
71,Cabbagge,5,Amalaguda,2018-05-10,Cierra Stowers,CHAIR Nursery,4,1000
74,Cabbagge,5,Demudu Valasa,2018-05-10,Charles Dunn,CHAIR Nursery,4.5,1000
75,Cabbagge,5,Amalaguda,2018-05-10,Angel Diaz Gonzalez,CHAIR Nursery,4.5,1200
76,Cabbagge,5,Badiyapadu,2018-05-10,Jeremiah Brown,RECOUP Nursery,4.5,300
77,Cabbagge,5,Badiyapadu,2018-05-10,Jeremiah Brown,RECOUP Nursery,4.5,700
78,Cabbagge,5,Badiyapadu,2018-05-10,Jeremiah Brown,RECOUP Nursery,4.5,500
79,Cabbagge,5,Badiyapadu,2018-05-10,Vahine Susarla,RECOUP Nursery,4.5,600
80,Cabbagge,5,Badiyapadu,2018-05-10,Vahine Susarla,RECOUP Nursery,4.5,300
82,Maize,11.6,Kummari kunta,2018-05-11,Jonefen Nguyen,BOW Organic Produce,11.5,6030
83,Maize,11.5,Buttayagudem,2018-05-11,Bobbie Cloud,DEBATE Nursery,11.4,5100
84,Maize,11.5,Seethappa Gudem,2018-05-11,Adrian Jackson,EXCEED Farm,11.3,12000
85,Maize,11.3,Kummari kunta,2018-05-11,Najee Radebaugh,BOW Organic Produce,11.15,38000
86,Maize,11.8,P Ankampalem,2018-05-11,Alyssa Valdez,BOLSTER Nursery,11.5,7500
87,Maize,11.2,Chityala,2018-05-11,Mariah Phillips,ACTIVATE Farm,11,24000
88,Maize,11.4,Guddigudem,2018-05-11,Jesse Kuck,POINT Organic Produce,11.2,6600
89,Maize,11.4,Guddigudem,2018-05-11,Myriah Wallace,POINT Organic Produce,11.2,3700
90,Maize,11.8,Mulagalampalle,2018-05-11,Robbi Jacket,DISAPPEAR Farm,11.6,17063
91,Maize,11.5,Kummari kunta,2018-05-11,Jordyn Chaffin,BOW Organic Produce,11.3,1750
92,Maize,11.5,Swarnavarigudem,2018-05-11,Ross Kukus,BOW Organic Produce,11.3,4000
93,Maize,11.5,Seethappa Gudem,2018-05-11,Leonardo Barraza,EXCEED Farm,11.2,3000
94,Maize,12,Darbhagudem,2018-05-11,Najeem el-Aman,FORCE Farm,11.3,14230
95,Maize,12,Barrinkalapadu,2018-05-11,Jaadallah el-Ghazi,FORCE Farm,11.4,16230
96,Maize,11.3,west palakunta,2018-05-15,Sajiyya el-Farid,DEBATE Nursery,11,2750
97,Maize,11.3,Kummari kunta,2018-05-15,Anna Fleischman Jr,BOW Organic Produce,11,4650
98,Maize,11.4,Manchulavarigudem,2018-05-15,Adam Russell,SUBTRACT Nursery,11.2,4500
99,Maize,11.35,Guddigudem,2018-05-15,Chase Capan,POINT Organic Produce,11.2,7350
100,Maize,11.5,Vankavarigudam,2018-05-15,Aryan Rondeau,FORCE Farm,11.3,14350
101,Maize,11.5,Kamayya Palem,2018-05-15,Wisaam el-Mohiuddin,BUBBLE Farm,11.2,7000
102,Maize,11.5,Tabisivari gudem,2018-05-15,Steven Cifrese,FORCE Farm,11.3,11230
103,Maize,11.5,Rowthu Gudem,2018-05-17,Mu'hsina al-Ghattas,UNTIDY Organic Produce,11.3,7000
104,Maize,11.5,Vankavarigudam,2018-05-17,Amanda Stafford,FORCE Farm,11.3,14350
105,Maize,11.5,Mulagalampalle,2018-05-17,Mariah Lansing,FORCE Farm,11.3,16300
106,Maize,11.6,P Ankampalem,2018-05-17,Reese Marotta,BUBBLE Farm,11.4,13250
107,Maize,11.4,Chandrayya Gudem,2018-05-17,Muneer el-Mohammed,POST Nursery,11.2,4050
108,Maize,11.4,Chandrayya Gudem,2018-05-17,Kathryn Memmer,POST Nursery,11.2,3300
109,Maize,11.4,Koyankam palem,2018-05-18,Eric Umugwaneza,EXCEED Farm,11.25,3400
110,Maize,12.5,Karicharlagudem,2018-05-21,Jean Cottrell,CLIP Farm,11.2,24550
111,Maize,11.4,Mulagalampalle,2018-05-21,Amra Marz,FORCE Farm,11.2,7030
112,Maize,11.4,Chandrayya Gudem,2018-05-21,Tamara Olsen,POST Nursery,11.2,4050
113,Maize,11.4,East Mettagudem,2018-05-21,Jordan Burton,POST Nursery,11.3,4950
114,Maize,11.6,Swarnavarigudem,2018-05-21,David Valdez,FORCE Farm,11.3,7530
115,Maize,11.5,P Ankampalem,2018-05-21,Conor Hermawan,FORCE Farm,11.2,7160
116,Maize,11.3,Guddigudem,2018-05-21,Willie Rosa,POINT Organic Produce,11.1,6000
117,Maize,11.4,Seethappa Gudem,2018-05-21,Brandon Williams,EXCEED Farm,11,3200
118,Maize,11.3,Mulagalampalle,2018-05-21,Chantel Dreiling,HARM Organic Produce,11.1,6800
119,Maize,11.4,Chandrayya Gudem,2018-05-21,Jessica Cabanillas,POST Nursery,11.2,7900
120,Maize,11.4,Doramamidi (Buttayagudem),2018-05-21,Brandon Ryen,SIP Organic Produce,11.2,4100
121,Cashewnut,148,Goragommi,2018-05-22,Michael Estrada,TELEPHONE Farm,145,158.5
122,Cashewnut,148,Goragommi,2018-05-22,Tristan Howard,TELEPHONE Farm,145,120.5
123,Cashewnut,148,Goragommi,2018-05-22,Dylan Nededog,TELEPHONE Farm,145,125
124,Cashewnut,148,Goragommi,2018-05-22,Tia Alcocer,TELEPHONE Farm,145,84
125,Cashewnut,148,Goragommi,2018-05-22,Nada el-Zaidi,TELEPHONE Farm,145,125
126,Cashewnut,145,Donelapalli,2018-05-22,Maazin al-Shafi,EXPEL Nursery,143,90
